SleepQuality,Regularity,Steps,Alarm,PA,MovementsPerHour,TimeInBed,TimeAsleep,TimeBeforeSleep,Snore,SnoreTime,Temperature
1,81,0,0,0,76.1,32456.1,28561.4,216.4,0,0,32
0,71,0,1,0,78.1,22269.9,19746,148.5,0,0,39.4
0,81,0,1,0,86.9,20737,19631,138.2,0,0,42.1
1,79,0,1,0,64,25198.7,20830.9,168,0,0,37.2
0,84,0,1,0,84,20539.6,19170.3,136.9,0,0,35.2
0,71,0,0,0,91.4,29128.1,25438.6,194.2,0,0,32
0,55,0,1,0,78.1,24996.8,21747.2,166.6,0,0,43
0,74,0,1,0,95.6,22575.6,19415,150.5,0,0,44.1
1,87,0,1,0,79.9,26709.1,24750.4,178.1,0,0,28.2
0,87,0,1,0,73.7,21430.7,19716.2,142.9,0,0,26.6
1,83,0,1,0,80.7,30003.9,27803.6,200,0,0,29.5
0,79,0,0,0,89.3,25369,23762.3,169.1,0,0,32
0,76,0,0,0,95.9,27046.9,24342.3,180.3,0,0,32
1,80,0,0,0,57.6,30369.5,29357.2,202.5,0,0,32
1,86,0,0,0,49.5,24855.6,22784.3,165.7,0,0,32
1,87,0,0,0,64.6,33324.1,28214.4,222.2,0,0,32
1,85,0,0,0,385.4,29506.3,26752.4,196.7,0,0,32
0,78,0,1,0,385.2,15000.1,12350.1,100,0,0,32
1,67,0,0,0,67.5,37699,33803.5,251.3,0,0,32
1,57,0,0,0,61.5,36394.3,33240.1,242.6,0,0,32
1,45,0,1,0,81.2,25728.7,23756.2,171.5,0,0,30.6
1,60,0,1,0,45.9,24783,21561.2,165.2,0,0,27.7
1,74,0,1,0,71.3,24687.6,23041.8,164.6,0,0,29.8
1,95,0,1,0,90.7,26532.9,23614.3,176.9,0,0,24.1
1,86,0,0,0,86.6,36810.4,33252,245.4,0,0,32
1,82,0,0,0,82.5,35378.1,33845,235.9,0,0,32
1,77,0,1,0,66.5,26598.7,24825.5,177.3,0,0,20.8
0,80,0,1,0,82.2,20212.2,18662.6,134.7,0,0,32
0,80,0,1,0,101.3,22774.6,18978.8,151.8,0,0,10.9
1,86,0,1,0,105.6,30261.2,27840.3,201.7,0,0,21.6
1,78,0,0,0,102.1,33154.4,31165.1,221,0,0,32
1,75,0,0,0,92.4,36013.1,31571.5,240.1,0,0,32
1,74,0,1,0,108.8,26101.3,24796.3,174,0,0,22.5
1,75,0,1,0,127.7,29694.1,24844.1,198,0,0,15.1
1,90,0,1,0,76.4,24248.6,20126.3,161.7,0,0,32
1,77,0,1,0,54.7,35407.9,31040.9,236.1,0,0,32
1,59,0,0,0,133.8,36801.7,32262.8,245.3,0,0,32
1,66,0,0,0,160.7,28566.4,27138.1,190.4,0,0,32
1,74,0,0,0,120.9,32140,30854.4,214.3,0,0,32
1,87,0,1,0,106,34207.2,30900.5,228,0,0,32
1,79,0,0,0,120.1,25047.9,23044.1,167,0,0,32
0,80,0,0,0,113.4,16971.3,14538.7,113.1,0,0,32
1,68,0,0,0,104.6,35730.8,33229.6,238.2,0,0,32
1,68,0,0,0,85.2,31246.2,27496.6,208.3,0,0,32
1,86,0,0,0,141.3,29788.1,26014.9,198.6,0,0,32
1,93,0,0,0,127.6,28660.1,25889.6,191.1,0,0,32
1,86,0,0,0,83.6,34056,30650.4,227,0,0,32
1,87,0,0,0,82.3,33412,29291.2,222.7,0,0,32
1,85,0,0,0,112.9,28678.5,25810.7,191.2,0,0,32
1,70,0,0,0,99.2,24938.7,21613.6,166.3,0,0,32
1,63,0,1,0,107.2,26951.6,26771.9,179.7,0,0,7
1,66,0,1,0,91.1,26898.5,23939.7,179.3,0,0,32
1,76,0,0,0,86.6,32190.1,27468.9,214.6,0,0,32
1,75,0,0,0,87.2,31559.4,27667.1,210.4,0,0,32
0,77,0,1,0,100.2,23821.3,19533.5,158.8,0,0,27.7
0,83,0,1,0,81.8,22159.6,20682.3,147.7,0,0,30
1,81,0,1,0,80.3,26662.3,21774.2,177.7,0,0,26.1
1,92,0,1,0,59.4,22711.3,20061.6,151.4,0,0,10.8
1,88,0,1,0,69.7,29029,26029.4,193.5,0,0,14.2
1,90,0,0,0,85.9,27364.5,21800.4,182.4,0,0,32
1,90,0,0,0,83.5,31057.3,26398.7,207,0,0,32
1,90,0,1,0,87.5,31276.9,30442.9,208.5,0,0,18.3
0,78,0,1,0,73.2,19056.9,14102.1,127,0,0,32
0,82,0,1,0,83.3,22555.3,18946.5,150.4,0,0,28.4
0,91,0,1,0,60.2,18519,14259.6,123.5,0,0,29.3
1,75,0,0,0,91.9,36473.2,33676.9,243.2,0,0,32
0,64,0,1,0,109.2,23067.3,22452.2,153.8,0,0,17.2
0,77,0,1,0,91.9,16374.5,14737,109.2,0,0,8.4
1,79,0,1,0,69.2,23230.8,20830.2,154.9,0,0,13.6
1,85,0,1,0,77.7,26087.1,25913.2,173.9,0,0,21.6
0,85,0,1,0,83,23361.1,22193,155.7,0,0,13.8
1,77,0,0,0,89.9,31576.1,24418.9,210.5,0,0,32
1,80,0,0,0,61,29141.5,23993.2,194.3,0,0,32
0,71,0,1,0,55.3,21750.3,19285.3,145,0,0,17.1
1,84,0,1,0,62.3,22726.7,20681.3,151.5,0,0,27.7
1,84,0,1,0,25.7,24995.8,23829.4,166.6,0,0,21.2
1,96,0,1,0,88.4,25974.2,23723.1,173.2,0,0,12.6
1,95,0,1,0,81.6,25461.7,22745.8,169.7,0,0,30.7
1,82,0,0,0,61.8,33051.3,31398.8,220.3,0,0,32
0,71,0,1,0,63.7,21732.5,19776.5,144.9,0,0,28.2
0,83,0,1,0,48.3,21417.4,20632.1,142.8,0,0,28
1,85,0,1,0,40.7,26571.8,25686.1,177.1,0,0,31.8
0,90,0,1,0,65.3,21940.7,19819.8,146.3,0,0,41
0,0,0,1,0,59,21941.7,19966.9,1535.9,0,0,26.1
1,93,0,1,0,51,24961.1,21882.5,166.4,0,0,21.2
0,92,0,1,0,61.6,21455.6,20311.3,143,0,0,38.5
0,93,0,1,0,44.7,21986.3,20080.8,146.6,0,0,35.8
0,95,0,1,0,49.3,21862.5,18364.5,145.7,0,0,26.6
1,88,0,0,0,52.8,34627.6,30356.9,1154.3,0,0,32
1,87,0,0,0,69.4,38029.9,32832.4,253.5,0,0,32
1,78,0,0,0,55.2,29955,26160.7,199.7,0,0,32
1,75,0,0,0,56.3,25992.5,23999.8,1213,0,0,32
1,78,0,1,0,23.1,23224.9,20360.5,1083.8,0,0,16.5
0,0,2358,1,85.9,83.3,21630,18097.1,144.2,0,0,18.5
0,99,0,1,0,127.5,22087.1,21056.4,147.2,0,0,25.2
0,97,0,1,0,33.6,20112.8,18906,134.1,0,0,25
0,96,0,1,0,34.9,19915.9,19384.8,132.8,0,0,25.5
0,94,5145,1,87.6,30.2,23011.9,21938,153.4,0,0,23
1,76,0,0,0,64.3,39376.4,34913.7,262.5,0,0,32
0,59,0,1,0,68.2,21722.4,19260.5,144.8,0,0,21.9
1,79,0,1,0,22.7,22480.7,19857.9,674.4,0,0,28.9
0,84,0,1,0,39.2,20407.4,19183,136,0,0,37.9
0,97,0,1,0,37.5,20860.5,19887,139.1,0,0,39.7
0,96,0,1,0,43.9,18458.3,17596.9,123.1,0,0,32.7
1,72,0,0,0,48.8,30220.6,26291.9,201.5,0,0,32
0,37,0,1,0,73.4,21782,20329.9,145.2,0,0,32.5
1,57,0,1,0,51.9,24110.8,21539,160.7,0,0,39.7
0,70,0,1,0,50.5,21950.5,18804.3,146.3,0,0,40.6
0,92,0,1,0,54,22424.1,21377.6,149.5,0,0,32.9
0,95,0,1,0,38.7,21477.8,20618.6,143.2,0,0,33.4
1,92,0,1,0,56.7,25146.9,21458.6,167.6,0,0,34.9
1,98,0,1,0,41.3,24157.1,20372.5,161,0,0,38.5
0,95,0,1,0,56.2,22521.5,18767.9,150.1,0,0,35.1
1,94,0,1,0,56.5,25918.2,22980.8,172.8,0,0,28
1,0,4186,0,94.8,137.6,33505.5,28926.4,223.4,0,0,32
1,85,7560,0,96,190.8,35920.4,29574.5,239.5,0,0,32
1,84,0,1,0,58.9,28789.3,27253.9,191.9,0,0,40.8
1,31,0,0,0,70.2,31905.2,28821.1,212.7,0,0,32
1,26,0,1,0,46.9,24018.6,21776.9,160.1,0,0,25.2
1,60,0,1,0,29.9,26937.8,25052.2,179.6,0,0,32.2
1,94,0,1,0,41.8,24447.9,22084.6,1792.8,0,0,37.2
0,89,0,1,0,52,21517.5,17357.4,143.4,0,0,35.8
1,73,0,0,0,61.7,32588.1,27808.5,217.3,0,0,32
1,75,0,0,0,38.7,24012.5,20250.6,160.1,0,0,32
1,68,0,1,0,65.1,24130.8,22039.5,160.9,0,0,26.1
1,80,4915,1,87.1,53.2,23464.1,21899.8,156.4,0,0,27.5
0,85,5156,1,86.2,26.4,22168.9,22021.1,147.8,0,0,35.8
0,98,4955,1,86.1,55.1,21314.2,17264.5,142.1,0,0,25.2
0,97,5038,1,87,98.9,20404.8,19724.6,136,0,0,26.6
1,73,2568,0,86.9,40.4,27343.5,27161.2,182.3,0,0,32
0,51,2182,1,86.5,45.5,22177.7,20773.1,147.9,0,0,33.8
0,73,5696,1,86.7,51.1,19524,18352.6,130.2,0,0,32.2
1,78,7091,1,87.2,29.4,25070.8,24903.6,167.1,0,0,30.9
0,88,1969,1,87.1,37.5,21185.7,20267.7,141.2,0,0,32
0,89,6533,1,88,36.4,21537.4,19670.8,143.6,0,0,29.3
1,85,316,1,86.4,54.7,27835.2,21062,1113.4,1,176,34.2
0,90,5335,1,86.8,58.3,23457.3,21502.6,156.4,1,0,29.8
0,92,5720,1,86.6,71,24908.9,23912.6,166.1,1,0,32.7
1,93,3537,1,86.9,30.1,27389.4,27206.8,182.6,1,171,29.8
1,96,3373,1,87.3,46.2,26798.6,24118.8,178.7,1,0,28.6
1,72,1257,0,87.6,48.9,36479.3,30642.6,243.2,1,0,32
1,48,2938,1,87.7,57.3,24451,20620.3,1711.6,1,0,32.5
1,73,3245,1,87.4,66.1,26692.8,23044.8,178,1,1169,41.5
0,79,5843,1,87.7,45.3,22640.8,17433.4,3094.2,1,0,41.9
0,93,2975,1,87.4,68.9,25157.8,24990.1,167.7,1,65,45.9
0,91,4143,1,86.5,93.1,20194.7,19319.6,134.6,1,0,45.3
1,92,3851,1,86.9,42.5,23640.6,23483,157.6,1,0,32.5
1,88,0,1,86.9,29.3,28491.6,27352,189.9,1,0,32.2
1,87,3624,1,87.2,30.8,24352.1,24189.8,162.3,1,0,37
1,93,3215,1,86.9,42.3,26167.1,24073.7,1221.1,1,113,39.9
1,95,1803,1,86.9,35.8,23607.6,20774.7,1180.4,1,0,33.1
0,-78,719,0,86.8,39.2,14083.5,13989.6,93.9,1,0,32
0,-79,1178,1,86.9,44.8,22310.2,20004.8,148.7,1,0,32.7
1,8,0,1,87.7,35.9,22374,20882.4,1491.6,1,0,33.8
1,95,3536,1,87.3,45.5,24477.2,22763.8,163.2,1,0,31.6
1,76,4804,1,87.3,62.8,25778.3,23286.4,171.9,1,316,50.9
1,68,8072,0,87.5,49,35955.9,34997.1,239.7,1,0,32
0,68,1371,1,87.7,74.3,21448.9,20018.9,1429.9,1,0,46.4
0,77,4106,1,87.5,103.1,23338.2,18126,1555.9,1,0,50.7
1,84,3649,1,87.1,41.6,22961.3,20435.6,153.1,1,106,44.1
0,96,3642,1,86.5,20.9,20033.5,19031.8,1001.7,1,0,36.7
0,95,2928,1,86.7,45.6,22814.3,22662.2,152.1,1,406,41.2
1,86,4885,1,87.3,58.6,35226.7,31351.7,234.8,1,111,57.7
1,85,9594,1,87.4,67.2,35471.9,31806.4,236.5,1,0,62.1
1,86,3038,1,87,46.9,29528.1,25098.9,196.9,1,0,32
0,77,3172,1,86.8,66.3,22267.5,19521.2,148.4,1,0,45.3
0,85,3499,1,86.8,51.5,23171.5,21472.3,154.5,1,307,49.1
1,89,3795,1,87.2,38.4,24594.5,23446.8,1147.7,1,0,42.6
1,88,4401,1,87.1,70.6,30275.2,25834.9,201.8,1,270,58.6
0,79,5512,1,87,113,26996.7,23577.1,180,1,0,46.8
1,77,7761,1,87.4,55.4,27719,25593.9,184.8,1,0,38.5
0,85,4467,1,87.1,71.8,25211.9,23531.1,168.1,1,0,51.1
0,93,4640,1,86.9,56.2,23637.7,21983,157.6,1,1705,52.3
1,95,4065,1,86.3,61.2,25737.3,22219.9,171.6,1,61,49.1
1,97,2734,1,86.8,35.6,25113.1,20592.7,1674.2,1,0,41
1,98,864,1,86.7,67,25859.6,22670.2,1034.4,1,0,41.2
1,99,4097,1,87.2,30.7,25527.2,22549,170.2,1,795,38.3
0,97,3799,1,87.3,78.5,25292.3,20571,843.1,1,0,35.8
1,95,4094,1,87.1,35.6,23999.6,23359.6,160,1,130,48.7
0,93,5034,1,87.3,44.6,20743.2,20604.9,138.3,1,102,51.4
1,84,4369,0,99.3,55.2,28594,23733,190.6,1,159,32
1,82,3132,0,99.3,49.1,34774.7,33267.8,231.8,1,61,32
1,83,4763,0,98.9,50,34098.5,28983.7,227.3,1,98,32
0,84,3311,1,87.4,64.1,23993.8,19994.8,160,1,87,55.2
0,86,4147,1,87.6,53.4,19990.9,17058.9,133.3,1,0,32
0,85,4014,1,87.6,47.5,23068.7,22914.9,153.8,1,497,49.6
1,83,7954,0,87.7,50.8,38239,34160.2,254.9,1,88,32
1,71,9361,0,87.5,50.6,28016.1,22506.3,186.8,1,208,32
0,82,4972,1,87.2,52.1,22266.5,19000.7,1336,1,361,74.1
1,86,8630,1,87.1,53.2,28531.1,27104.5,190.2,1,0,57.6
1,79,3339,1,87.4,70.1,28239.4,26450.9,188.3,1,0,72.3
0,59,9482,1,87.1,41.6,17859.8,13871.1,1190.7,1,0,32
1,65,5683,1,87.2,97.2,30728.2,27143.3,2048.5,1,0,66
1,65,2494,0,87.4,48.4,26123.8,22466.5,174.2,1,149,32
1,73,3948,1,87.3,31.5,29931.6,28834.1,199.5,1,0,77.2
1,83,4803,1,87.3,37.4,30672.1,30467.7,204.5,1,0,76.5
1,94,12943,1,87.6,36.3,31526.6,28584.1,210.2,1,0,77.2
1,84,3698,1,102,76.2,29039.8,23909.4,193.6,1,691,57.4
1,77,5512,0,101.9,67.2,28810.2,25160.9,192.1,1,0,32
1,84,6165,0,101.9,80.2,30762.8,26045.9,205.1,1,170,32
0,87,8761,0,101.8,93.8,27334.2,24054.1,182.2,1,0,32
0,93,5224,0,101.9,80.2,26210.7,26036,174.7,1,0,32
1,93,2925,0,102.1,95.1,31086.7,27149,207.2,1,0,32
1,85,5063,0,102.2,80.6,32225.2,28465.6,214.8,1,0,32
1,76,970,0,87.7,44.6,31633.6,29419.3,210.9,1,0,32
0,67,4243,0,87.3,102.1,20084.3,18343.7,133.9,1,65,32
1,58,3717,0,87.2,55.6,29102.9,27841.8,194,1,0,32
1,56,0,1,87.2,49.4,25599.3,23124.7,170.7,1,66,53.8
0,0,0,1,87.1,0,4941.3,4842.5,98.8,1,0,66.9
1,97,0,1,87.1,73,26206.1,22711.9,174.7,1,0,57.6
0,95,0,1,87.3,53.7,22951.8,20350.6,153,1,0,32
0,85,0,1,87.5,60,9525.8,6985.6,63.5,1,0,72.7
0,71,0,1,87.4,41.5,22220.1,22071.9,148.1,1,0,66.4
1,91,0,1,87.3,50,24056,20367.4,160.4,1,0,59.7
0,0,0,1,87.4,0,4647,4554.1,92.9,1,0,73
1,90,0,1,87.6,48.4,28930.7,22951.7,192.9,1,0,32
1,91,0,1,87.7,69.9,27469.1,23257.2,183.1,1,0,59.9
1,91,843,0,87.8,49.6,32210.6,28560.1,214.7,1,61,32
1,84,13978,1,87.6,57.9,27903.9,27717.9,186,1,0,81.1
1,85,13413,1,87.5,66.6,31407.6,28580.9,209.4,1,0,32
1,89,10138,1,87.4,74.8,32213.2,26951.7,214.8,1,0,80.8
0,0,27,0,87.2,0,5786.7,5671,115.7,1,0,32
0,89,1083,1,87.2,87.3,25687,20463.9,171.2,1,141,32
1,81,4686,1,87.3,73.4,28876.2,24063.5,192.5,1,0,77.9
1,85,0,1,87.3,55.4,29203.8,26964.9,194.7,1,0,72.3
1,85,17378,0,87.3,71.3,28533.8,23968.4,190.2,1,938,32
0,84,13087,0,87.4,43.7,20876.9,16701.5,139.2,1,0,32
0,34,0,1,87.4,0,3648.1,3575.2,73,1,0,32
0,38,0,1,87.3,0,3447.8,3378.9,69,1,0,70.7
0,0,0,1,87.3,0,1900,1862,38,1,0,77.7
1,-15,11587,0,87.1,58,24508.7,21486,163.4,1,0,32
1,23,2320,1,87.1,45.7,24899.8,22077.9,166,1,133,52.7
1,18,20339,0,86.8,57.7,29900.5,25315.8,199.3,1,0,32
0,74,11958,1,87.3,58.3,22909.2,19778.3,152.7,1,317,68.5
0,10,48,1,87.7,0,3672.3,3598.9,73.4,1,0,64.4
0,0,0,1,87.7,0,1743.5,1708.6,34.9,1,0,70.5
0,-92,8756,0,87.5,42.5,20975.4,20206.3,139.8,1,477,32
0,-22,1465,1,87.5,63.7,20860.5,19261.2,139.1,1,0,55.2
0,-6,32,1,87.6,0,3966.9,3887.5,79.3,1,0,67.8
0,-77,2669,0,99,54.1,13721.1,13035,91.5,1,0,32
1,-4,6944,1,87.5,45.2,24529.1,24365.5,163.5,1,0,61.3
1,77,15484,1,87.7,49.7,30889.1,26461.7,205.9,1,180,32
1,83,12091,1,87.6,61.5,28885.4,28692.8,192.6,1,0,69.6
1,91,7730,1,87.3,59.5,26211,22279.4,174.7,1,1050,60.8
